City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
253,Port Elizabeth,ZA,-33.918,25.5701,74.1,60,20,17.27,few clouds
254,Yabrud,SY,33.9674,36.6574,71.26,34,2,3.94,clear sky
255,Rawah,IQ,34.4816,41.9093,82.33,15,0,8.48,clear sky
256,Zeya,RU,53.75,127.2667,34.25,86,46,2.3,scattered clouds
257,Tocopilla,CL,-22.092,-70.1979,64.62,60,0,8.57,clear sky
258,Salinopolis,BR,-0.6136,-47.3561,86.43,63,59,8.97,broken clouds
259,Henties Bay,NA,-22.116,14.2845,65.86,65,2,10.22,clear sky
260,Mujiayingzi,CN,42.1167,118.7833,41.04,39,0,2.91,clear sky
261,Svetlogorsk,BY,52.6333,29.7333,52.02,52,10,17.31,clear sky
262,Price,US,39.5994,-110.8107,38.41,93,1,3.44,clear sky
263,Mamallapuram,IN,12.6264,80.1722,86.05,72,45,7.38,scattered clouds
264,Batagay,RU,67.6333,134.6333,9.23,98,98,1.9,overcast clouds
265,Krasnoselkup,RU,65.7,82.4667,32.58,99,100,10.89,snow
266,Port Hedland,AU,-20.3167,118.5667,78.85,57,47,3.44,scattered clouds
267,Kloulklubed,PW,7.0419,134.2556,79.3,71,8,12.1,clear sky
268,Kamenka,RU,51.3223,42.7678,59.95,57,54,16.84,broken clouds
269,Gdov,RU,58.7406,27.8122,45.72,68,11,28.19,few clouds
270,Saurimo,AO,-9.6608,20.3916,81.32,53,100,0.67,overcast clouds
271,Faya,SA,18.3851,42.4509,77.11,17,2,12.68,clear sky
272,Beboto,TD,8.2668,16.939,88.07,51,41,5.35,scattered clouds
273,Sochi,RU,43.6,39.7303,66.29,57,0,0.89,clear sky
274,Namatanai,PG,-3.6667,152.4333,77.9,82,94,4.81,overcast clouds
275,Berlevag,NO,70.8578,29.0864,31.95,80,75,14.97,light shower snow
276,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,82,88,12.82,overcast clouds
277,Ancud,CL,-41.8697,-73.8203,51.33,65,8,5.73,clear sky
278,Adrar,MR,20.5022,-10.0711,87.1,18,100,11.23,overcast clouds
279,Cayenne,GF,4.9333,-52.3333,87.84,79,20,1.99,few clouds
280,Pacific Grove,US,36.6177,-121.9166,61.57,90,90,1.99,light rain
281,Guangyuan,CN,32.442,105.823,55.8,89,100,2.77,overcast clouds
282,Haimen,CN,23.1935,116.6142,64.29,77,100,9.22,overcast clouds
283,Zhigalovo,RU,54.8097,105.1578,34.38,77,11,1.07,few clouds
284,Ballina,AU,-28.8667,153.5667,69.76,91,35,8.05,scattered clouds
285,Pochutla,MX,15.7432,-96.4661,77.83,91,100,4.03,overcast clouds
286,Bathsheba,BB,13.2167,-59.5167,86.61,66,40,24.16,scattered clouds
287,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,63,8,5.73,clear sky
288,Karratha,AU,-20.7377,116.8463,83.43,38,5,9.28,clear sky
289,Booue,GA,-0.0921,11.9385,79.34,89,100,0.76,light rain
290,Katsuura,JP,35.1333,140.3,54.19,92,100,23.82,overcast clouds
291,Saint-Paul,RE,-21.0096,55.2707,82.0,84,22,1.01,few clouds
292,Verkhnevilyuysk,RU,63.4453,120.3167,29.55,98,99,3.18,overcast clouds
293,Westport,US,41.1415,-73.3579,66.02,83,1,1.99,clear sky
294,Khromtau,KZ,50.2503,58.4347,47.25,50,100,24.38,overcast clouds
295,Salalah,OM,17.0151,54.0924,82.49,69,0,9.22,clear sky
296,Balikpapan,ID,-1.2675,116.8289,79.0,79,100,3.87,overcast clouds
297,Springdale,US,36.1867,-94.1288,46.81,96,1,0.0,clear sky
298,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,77,100,0.45,overcast clouds
299,Mayumba,GA,-3.432,10.6554,80.35,80,70,11.43,broken clouds
300,Vitim,RU,59.4511,112.5578,35.82,83,67,7.99,broken clouds
301,Bradu,RO,44.7833,24.9,70.86,43,44,8.61,scattered clouds
302,Guerrero Negro,MX,27.9769,-114.0611,65.3,86,3,8.57,clear sky
303,Joshimath,IN,30.5667,79.5667,60.31,88,60,0.63,broken clouds
304,Lavrentiya,RU,65.5833,-171.0,23.59,83,100,11.61,overcast clouds
305,Leh,IN,34.1667,77.5833,42.76,33,99,12.03,overcast clouds
306,Raudeberg,NO,61.9875,5.1352,47.07,84,100,7.0,overcast clouds
307,Salvador,SV,13.8333,-88.9167,73.8,97,98,2.44,overcast clouds
308,Turayf,SA,31.6725,38.6637,82.65,30,0,13.8,clear sky
309,Strezhevoy,RU,60.7333,77.5889,31.98,95,100,16.44,light snow
310,Sola,VU,-13.8833,167.55,80.47,76,93,5.61,overcast clouds
311,Volnovakha,UA,47.601,37.4967,53.94,44,7,12.82,clear sky
312,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,74,75,8.99,broken clouds
313,Bethel,US,41.3712,-73.414,64.54,82,1,1.01,clear sky
314,Aklavik,CA,68.2191,-135.0107,27.43,90,94,3.38,overcast clouds
315,Sistranda,NO,63.7256,8.834,42.91,75,100,21.14,overcast clouds
316,Bredasdorp,ZA,-34.5322,20.0403,70.29,41,100,22.55,overcast clouds
317,Puerto Ayacucho,VE,5.6639,-67.6236,78.89,81,97,3.8,overcast clouds
318,Nassjo,SE,57.6531,14.6968,45.52,61,7,10.69,clear sky
319,Huaidian,CN,33.4333,115.0333,55.71,44,100,5.39,light rain
320,Koslan,RU,63.4564,48.8989,37.94,100,100,3.29,overcast clouds
321,Gloversville,US,43.0528,-74.3438,59.07,92,100,11.9,overcast clouds
