City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
419,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
424,Guasdualito,VE,76.73,few clouds,7.2424,-70.7324,Hotel Cuibas
425,Santa Rosa,PH,84.18,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
426,Cabinda,AO,81.82,overcast clouds,-5.55,12.2,Hotel Maiombe
428,Tigre,AR,75.2,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
432,Puerto Del Rosario,ES,78.48,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
434,Palauig,PH,80.96,light rain,15.435,119.9045,Alperi Botique Resort
435,Sambava,MG,78.19,overcast clouds,-14.2667,50.1667,Melrose
437,Naliya,IN,80.01,clear sky,23.2667,68.8333,jadeja jayendrasinh
443,Redondo,PT,74.82,clear sky,38.6487,-7.5471,Monte Horta Maria Francisca
445,Muli,MV,82.65,few clouds,2.9167,73.5667,Medhufushi Island Resort
446,Alugan,PH,80.31,overcast clouds,12.2188,125.4808,JM Lodge
447,Santa Rosalia,MX,72.28,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
451,Moramanga,MG,73.38,light rain,-18.9333,48.2,Espace VANILLA
452,Grand Gaube,MU,79.2,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
453,Njombe,TZ,70.36,overcast clouds,-9.3333,34.7667,Hillside Hotel
454,Bani,DO,82.85,few clouds,18.2833,-70.3333,Hospedaje Henriquez
457,Marsa Matruh,EG,72.0,clear sky,31.3525,27.2453,Beau Site
463,Bontang,ID,79.12,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
464,Elizabeth City,US,71.01,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
466,Dumka,IN,76.64,scattered clouds,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
468,Marawi,PH,70.65,moderate rain,7.9986,124.2928,Derogongan Residence
469,Namibe,AO,76.24,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
472,Akyab,MM,80.78,overcast clouds,20.15,92.9,Hotel Memory
473,Aparecida Do Taboado,BR,80.19,clear sky,-20.0867,-51.0936,Aritana
476,Isiro,CD,78.66,overcast clouds,2.7739,27.616,Guest House Hewa Bora
477,Cozumel,MX,82.99,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
482,Phan Thiet,VN,79.09,scattered clouds,10.9333,108.1,Hotel Saigon-PT
486,Kudahuvadhoo,MV,82.8,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
488,Saint-Pierre,RE,81.57,light rain,-21.3393,55.4781,Lindsey Hôtel
494,Teknaf,BD,78.89,scattered clouds,20.8624,92.3058,Forestry Guesthouse
496,Porto Walter,BR,83.95,few clouds,-8.2686,-72.7439,Secretaria de saúde
499,Banda Aceh,ID,79.14,light rain,5.5577,95.3222,Sulthan Hotel International
501,Ejido,VE,73.51,scattered clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
503,Kerema,PG,80.2,overcast clouds,-7.9631,145.7785,Frena Lodge
507,Porbandar,IN,80.73,clear sky,21.6422,69.6093,Lords Inn Porbandar
509,Agadir,MA,79.25,clear sky,30.4202,-9.5982,Iberostar Founty Beach
510,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
513,Caravelas,BR,75.13,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
514,Kawalu,ID,73.63,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
521,Daru,PG,80.2,overcast clouds,-9.0763,143.2092,Daru Lodge
523,Saint-Joseph,RE,80.47,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
528,Aguimes,ES,75.67,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
531,Hobyo,SO,81.84,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
534,Ginir,ET,74.34,overcast clouds,7.1333,40.7,Sura Dare Village
540,Bengkulu,ID,78.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
544,Cartagena,CO,82.02,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
550,Arawa,PG,75.83,overcast clouds,-6.2132,155.5367,Coastline Guest House
555,Boa Vista,BR,76.98,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
556,Nador,MA,78.87,few clouds,35.174,-2.9287,Hôtel La Giralda
558,Bumba,CD,83.12,overcast clouds,2.1833,22.4667,Père Carlos
561,Campo Grande,BR,81.95,clear sky,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
562,Puerto Cabezas,NI,76.96,scattered clouds,14.0351,-83.3888,Cabaña Caribe
564,San Juan,AR,71.19,clear sky,-31.5375,-68.5364,Hotel Provincial
572,Bandarbeyla,SO,81.45,clear sky,9.4942,50.8122,JABIR HOTEL
573,Angoche,MZ,79.32,overcast clouds,-16.2325,39.9086,Guest House HESADA
574,Quelimane,MZ,82.45,clear sky,-17.8786,36.8883,Hotel Flamingo
575,Nabire,ID,74.86,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
578,Tambura,SS,81.95,light rain,5.6,27.4667,Rikito Lodge
580,Byron Bay,AU,73.06,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
582,Mabaruma,GY,77.29,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
584,Pak Chong,TH,78.82,light rain,14.708,101.4161,PakChong Phubade Hotel
586,Nokha,IN,83.34,clear sky,27.6,73.4167,gu khana
587,Rantauprapat,ID,76.03,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
589,Iquitos,PE,84.24,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
592,Pozo Colorado,PY,78.44,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
596,Keningau,MY,73.85,moderate rain,5.3378,116.1602,Sabindo Hotel
608,Pangkalanbuun,ID,73.8,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
616,Luganville,VU,77.56,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
617,Tomigusuku,JP,73.17,broken clouds,26.185,127.675,Hotel Gran View Okinawa
618,Tubuala,PA,80.33,overcast clouds,9.5167,-79.0333,Río Nabagana
620,Mae Sai,TH,74.52,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
627,Dalby,AU,70.99,light rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
628,Nicoya,CR,71.15,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
629,Camacupa,AO,79.66,overcast clouds,-12.0167,17.4833,seviremde seni
632,Gurmatkal,IN,75.15,overcast clouds,16.8667,77.4,Patange Enterprises
642,Yeppoon,AU,74.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
647,Bedele,ET,70.05,overcast clouds,8.456,36.353,Central Hotel
655,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
664,Las Tunas,CU,80.73,few clouds,20.9617,-76.9511,Hotel Cadillac
665,Kroya,ID,78.15,light rain,-7.6331,109.2461,RUSTANTO Fam
666,Labuhan,ID,83.28,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
671,Morgan City,US,73.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
673,Axim,GH,81.93,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
676,Cantaura,VE,81.64,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
678,High Rock,BS,77.02,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
686,Loum,CM,73.51,light rain,4.7182,9.7351,Hotel ROGER
688,Soyo,AO,81.07,overcast clouds,-6.1349,12.3689,Hotel Mpampa
689,Bac Lieu,VN,80.6,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
690,Myrtle Beach,US,77.09,scattered clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
696,Vilhena,BR,80.82,clear sky,-12.7406,-60.1458,Hotel Mirage
698,Panacan,PH,80.6,moderate rain,9.2463,118.4082,Mom's Place Resort
702,Straseni,MD,73.42,few clouds,47.1414,28.6103,Castania Holiday Homes
